,title,story
1,the emperor's new clothes,"MANY years ago there was an emperor who was so fond of new clothes that he spent all his money on them. He did not give himself any concern about his army; he cared nothing about the theater or for driving about in the woods, except for the sake of showing himself off in new clothes.He had a costume for every hour in the day, and just as they say of a king or emperor, ""He is in his council chamber,"" they said of him, ""The emperor is in his dressing room.""Life was merry and gay in the town where the emperor lived, and numbers of strangers came to it every day. Among them there came one day two rascals, who gave themselves out as weavers and said that they knew how to weave the most exquisite stuff imaginable. Not only were the colors and patterns uncommonly beautiful, but the clothes that were made of the stuff had the peculiar property of becoming invisible to every person who was unfit for the office he held or who was exceptionally stupid.""Those must be valuable clothes,"" thought the emperor. ""By wearing them I should be able to discover which of the men in my empire are not fit for their posts. I should distinguish wise men from fools. Yes, I must order some of the stuff to be woven for me directly."" And he paid the swindlers a handsome sum of money in advance, as they required.As for them, they put up two looms and pretended to be weaving, though there was nothing whatever on their shuttles. They called for a quantity of the finest silks and of the purest gold thread, all of which went into their own bags, while they worked at their empty looms till late into the night.""I should like to know how those weavers are getting on with the stuff,""thought the emperor. But he felt a little queer when he reflected that those who were stupid or unfit for their office would not be able to see the material. He believed, indeed, that he had nothing to fear for himself, but still he thought it better to send some one else first, to see how the work was coming on. All the people in the town had heard of the peculiar property of the stuff, and every one was curious to see how stupid his neighbor might be.""I will send my faithful old prime minister to the weavers,"" thought the emperor. ""He will be best capable of judging of this stuff, for he is a man of sense and nobody is more fit for his office than he.""So the worthy old minister went into the room where the two swindlers sat working the empty looms. ""Heaven save us!"" thought the old man, opening his eyes wide. ""Why, I can't see anything at all!"" But he took care not to say so aloud.Both the rogues begged him to step a little nearer and asked him if he did not think the patterns very pretty and the coloring fine. They pointed to the empty loom as they did so, and the poor old minister kept staring as hard as he could but without being able to see anything on it, for of course there was nothing there to see.""Heaven save us!"" thought the old man. ""Is it possible that I am a fool?I have never thought it, and nobody must know it. Is it true that I am not fit for my office? It will never do for me to say that I cannot see the stuffs.""""Well, sir, do you say nothing about the cloth?"" asked the one who was pretending to go on with his work.""Oh, it is most elegant, most beautiful!"" said the dazed old man, as he peered again through his spectacles. ""What a fine pattern, and what fine colors! I will certainly tell the emperor how pleased I am with the stuff.""""We are glad of that,"" said both the weavers; and then they named the colors and pointed out the special features of the pattern. To all of this the minister paid great attention, so that he might be able to repeat it to the emperor when he went back to him.And now the cheats called for more money, more silk, and more gold thread, to be able to proceed with the weaving, but they put it all into their own pockets, and not a thread went into the stuff, though they went on as before, weaving at the empty looms.After a little time the emperor sent another honest statesman to see how the weaving was progressing, and if the stuff would soon be ready. The same thing happened with him as with the minister. He gazed and gazed, but as there was nothing but empty looms, he could see nothing else.""Is not this an exquisite piece of stuff?"" asked the weavers, pointing to one of the looms and explaining the beautiful pattern and the colors which were not there to be seen.""I am not stupid, I know I am not!"" thought the man, ""so it must be that I am not fit for my good office. It is very strange, but I must not let it be noticed."" So he praised the cloth he did not see and assured the weavers of his delight in the lovely colors and the exquisite pattern.""It is perfectly charming,"" he reported to the emperor.Everybody in the town was talking of the splendid cloth. The emperor thought he should like to see it himself while it was still on the loom. With a company of carefully selected men, among whom were the two worthy officials who had been there before, he went to visit the crafty impostors, who were working as hard as ever at the empty looms.""Is it not magnificent?"" said both the honest statesmen. ""See, your Majesty, what splendid colors, and what a pattern!"" And they pointed to the looms, for they believed that others, no doubt, could see what they did not.""What!"" thought the emperor. ""I see nothing at all. This is terrible! Am I a fool? Am I not fit to be emperor? Why nothing more dreadful could happen to me!""""Oh, it is very pretty! it has my highest approval,"" the emperor said aloud. He nodded with satisfaction as he gazed at the empty looms, for he would not betray that he could see nothing.His whole suite gazed and gazed, each seeing no more than the others; but, like the emperor, they all exclaimed, ""Oh, it is beautiful!"" They even suggested to the emperor that he wear the splendid new clothes for the first time on the occasion of a great procession which was soon to take place.""Splendid! Gorgeous! Magnificent!"" went from mouth to mouth. All were equally delighted with the weavers' workmanship. The emperor gave each of the impostors an order of knighthood to be worn in their buttonholes, and the title Gentleman Weaver of the Imperial Court.Before the day on which the procession was to take place, the weavers sat up the whole night, burning sixteen candles, so that people might see how anxious they were to get the emperor's new clothes ready. They pretended to take the stuff from the loom, they cut it out in the air with huge scissors, and they stitched away with needles which had no thread in them. At last they said, ""Now the clothes are finished.""The emperor came to them himself with his grandest courtiers, and each of the rogues lifted his arm as if he held something, saying, ""See! here are the trousers! here is the coat! here is the cloak,"" and so on. ""It is as light as a spider's web. One would almost feel as if one had nothing on, but that is the beauty of it!""""Yes,"" said all the courtiers, but they saw nothing, for there was nothing to see.""Will your Majesty be graciously pleased to take off your clothes so that we may put on the new clothes here, before the great mirror?""The emperor took off his clothes, and the rogues pretended to put on first one garment and then another of the new ones they had pretended to make. They pretended to fasten something round his waist and to tie on something. This they said was the train, and the emperor turned round and round before the mirror.""How well his Majesty looks in the new clothes! How becoming they are!""cried all the courtiers in turn. ""That is a splendid costume!""""The canopy that is to be carried over your Majesty in the procession is waiting outside,"" said the master of ceremonies.""Well, I am ready,"" replied the emperor. ""Don't the clothes look well?""and he turned round and round again before the mirror, to appear as if he were admiring his new costume.The chamberlains, who were to carry the train, stooped and put their hands near the floor as if they were lifting it; then they pretended to be holding something in the air. They would not let it be noticed that they could see and feel nothing.So the emperor went along in the procession, under the splendid canopy, and every one in the streets said: ""How beautiful the emperor's new clothes are! What a splendid train! And how well they fit!""No one wanted to let it appear that he could see nothing, for that would prove him not fit for his post. None of the emperor's clothes had been so great a success before.""But he has nothing on!"" said a little child.""Just listen to the innocent,"" said its father; and one person whispered to another what the child had said. ""He has nothing on; a child says he has nothing on!""""But he has nothing on,"" cried all the people. The emperor was startled by this, for he had a suspicion that they were right. But he thought, ""I must face this out to the end and go on with the procession."" So he held himself more stiffly than ever, and the chamberlains held up the train that was not there at all."
2,the swineherd,"THERE was once a poor prince who had a kingdom, but it was a very small one. Still it was quite large enough to admit of his marrying, and he wished to marry.It was certainly rather bold of him to say, as he did, to the emperor's daughter, ""Will you have me?"" But he was renowned far and wide, and there were a hundred princesses who would have answered, ""Yes,"" and, ""Thank you kindly."" We shall see what this princess said. Listen!It happened that where the prince's father lay buried there grew a rose tree, a most beautiful rose tree, which blossomed only once in five years, and even then bore only one flower. Ah, but that was a rose! It smelled so sweet that all cares and sorrows were forgotten by those who inhaled its fragrance!Moreover, the prince had a nightingale that could sing in such a manner that it seemed as if all sweet melodies dwelt in her little throat. Now the princess was to have the rose and the nightingale; and they were accordingly put into large silver caskets and sent to her.The emperor had them brought into a large hall, where the princess and the ladies of the court were playing at ""Visiting."" When she saw the caskets with the presents, the princess clapped her hands for joy.""Ah, if it should be a little pussy cat,"" exclaimed she. Instead, the rose tree, with its beautiful rose, came to view.""Oh, how prettily it is made!"" said all the court ladies.""It is more than pretty,"" said the emperor; ""it is charming.""The princess touched it and was ready to cry. ""Fie, papa,"" said she, ""it is not made at all. It is natural!""""Fie,"" said all the court ladies; ""it is natural!""""Let us see what the other casket contains before we get into bad humor,"" proposed the emperor. So the nightingale came forth, and sang so delightfully that at first no one could say anything ill-humored of her.""Superbe! charmant!"" exclaimed the ladies, for they all used to chatter French, and each worse than her neighbor.""How much the bird reminds me of the musical box that belonged to our blessed empress!"" remarked an old knight. ""Oh! yes, these are the same tunes, the same execution.""""Yes, yes!"" said the emperor, and at the remembrance he wept like a child.""I still hope it is not a real bird,"" said the princess.""Yes, it is a real bird,"" said those who had brought it.""Well, then, let the bird fly,"" returned the princess. And she positively refused to see the prince.However, he was not to be discouraged. He stained his face brown and black, pulled his cap over his ears, and knocked at the door of the castle.""Good day to my lord the emperor,"" said he. ""Can I have employment here at the palace?""""Why, yes,"" said the emperor. ""It just occurs to me that I want some one to take care of the pigs, there are so many of them.""So the prince came to be the imperial swineherd.He had a miserable little room, close by the pigsty, and here he was obliged to stay; and he sat the whole day long and worked. By evening he had made a pretty little saucepan. Little bells were hung all around it; and when the pot was boiling, the bells tinkled in the most charming manner, and played the old melody,           ""Ach, du lieber Augustin,            Alles ist weg, weg, weg.""But what was still more curious, whoever held his finger in the smoke of this saucepan, at once smelled all the dishes that were cooking on every hearth of the city. This, you see, was something quite different from the rose.Now the princess happened to walk that way with her court ladies, and when she heard the tune she stood quite still and seemed pleased, for she could play ""Dearest Augustine."" It was the only piece she knew, and she played it with one finger.""Why, that is the piece that I play on the piano!"" said the princess.""That swineherd must certainly have been well educated. Go in and ask him the price of the instrument.""So one of the court ladies had to go in, but she drew on wooden slippers first.""What will you take for the saucepan?"" inquired the lady.""I must have ten kisses from the princess,"" said the swineherd.""Heaven preserve us!"" exclaimed the maid of honor.""I cannot sell it for less,"" answered the swineherd.""Well, what does he say?"" asked the princess.""I cannot tell you, really,"" replied the lady. ""It is too dreadful.""""Then you may whisper it."" So the lady whispered it.""He is an impudent fellow,"" said the princess, and she walked on. But when she had gone a little way, the bells again tinkled prettily,           ""Ah! thou dearest Augustine,            All is gone, gone, gone.""""Stay!"" said the princess. ""Ask him if he will have ten kisses from the ladies of my court.""""No, thank you!"" answered the swineherd. ""Ten kisses from the princess, or I keep the saucepan myself.""""How tiresome! That must not be either!"" said the princess; ""but do you all stand before me, that no one may see us.""The court ladies placed themselves in front of her, and spread out their dresses. So the swineherd got ten kisses, and the princess got the saucepan.That was delightful! The saucepan was kept boiling all the evening and the whole of the following day. They knew perfectly well what was cooking on every hearth in the city, from the chamberlain's to the cobbler's. The court ladies danced and clapped their hands.""We know who has soup, and who has pancakes for dinner to-day; who has cutlets, and who has eggs. How interesting!""""Yes, but keep my secret, for I am an emperor's daughter.""The prince that is, the swineherd, for no one knew that he was other than an ill-favored swineherd let not a day pass without working at something. At last he constructed a rattle, which, when it was swung round and round, played all the waltzes and jig tunes which have been heard since the creation of the world.""Ah, that is superbe!"" said the princess, when she passed by. ""I have never heard prettier compositions. Go in and ask him the price of the instrument. But mind, he shall have no more kisses.""""He will have a hundred kisses from the princess,"" said the lady who had been to ask.""He is not in his right senses,"" said the princess, and walked on. But when she had gone a little way she stopped again. ""One must encourage art,"" said she; ""I am the emperor's daughter. Tell him he shall, as on yesterday, have ten kisses from me, and may take the rest from the ladies of the court.""""Oh, but we should not like that at all,"" said the ladies.""What are you muttering?"" asked the princess. ""If I can kiss him, surely you can! Remember I give you food and wages.""""A hundred kisses from the princess,"" said he, ""or else let every one keep his own.""""Stand round,"" said she, and all the ladies stood round as before.""What can be the reason for such a crowd close by the pigsty?"" asked the emperor, who happened just then to step out on the balcony. He rubbed his eyes and put on his spectacles.""They are the ladies of the court. I must go and see what they are about."" So he pulled up his slippers at the heel, for he had trodden them down.As soon as he had got into the courtyard he moved very softly, and the ladies were so much engrossed with counting the kisses that they did not perceive the emperor. He rose on his tiptoes.""What is all this?"" said he, when he saw what was going on, and he boxed the princess's ear with his slipper, just as the swineherd was taking the eighty-sixth kiss.""Be off with you! March out!"" cried the emperor, for he was very angry.Both princess and swineherd were thrust out of the city, and the princess stood and wept, while the swineherd scolded, and the rain poured down.""Alas, unhappy creature that I am!"" said the princess. ""If I had but married the handsome young prince! Ah, how unfortunate I am!""The swineherd went behind a tree, washed the black and brown from his face, threw off his dirty clothing, and stepped forth in his princely robes. He looked so noble that the princess could not help bowing before him.""I have come to despise thee,"" said he. ""Thou wouldst not have an honorable prince! Thou couldst not prize the rose and the nightingale, but thou wast ready to kiss the swineherd for the sake of a trumpery plaything. Thou art rightly served.""He then went back to his own little kingdom, where he shut the door of his palace before her very eyes. Now she might well sing,           ""Ah! thou dearest Augustine,            All is gone, gone, gone."""
3,the real princess,"THERE was once a prince who wanted to marry a princess. But she must be a real princess, mind you. So he traveled all round the world, seeking such a one, but everywhere something was in the way. Not that there was any lack of princesses, but he could not seem to make out whether they were real princesses; there was always something not quite satisfactory.Therefore, home he came again, quite out of spirits, for he wished so much to marry a real princess.One evening a terrible storm came on. It thundered and lightened, and the rain poured down; indeed, it was quite fearful. In the midst of it there came a knock at the town gate, and the old king went out to open it.It was a princess who stood outside. But O dear, what a state she was in from the rain and bad weather! The water dropped from her hair and clothes, it ran in at the tips of her shoes and out at the heels; yet she insisted she was a real princess.""Very well,"" thought the old queen; ""that we shall presently see."" She said nothing, but went into the bedchamber and took off all the bedding, then laid a pea on the sacking of the bedstead. Having done this, she took twenty mattresses and laid them upon the pea and placed twenty eider-down beds on top of the mattresses.The princess lay upon this bed all the night. In the morning she was asked how she had slept.""Oh, most miserably!"" she said. ""I scarcely closed my eyes the whole night through. I cannot think what there could have been in the bed. I lay upon something so hard that I am quite black and blue all over. It is dreadful!""It was now quite evident that she was a real princess, since through twenty mattresses and twenty eider-down beds she had felt the pea. None but a real princess could have such delicate feeling.So the prince took her for his wife, for he knew that in her he had found a true princess. And the pea was preserved in the cabinet of curiosities, where it is still to be seen unless some one has stolen it.And this, mind you, is a real story."
